???"TOTAL","DAY"
"40111.8","2016-01-02"
"45570.6","2016-01-14"
"43327.9","2016-01-12"
"22663.3","2016-01-17"
"28807.6","2016-01-18"
"66682.3","2016-01-23"
"122670","2016-02-18"
"224728.3","2016-02-05"
"194903.2","2016-02-22"
"192314.6","2016-02-23"
"131345","2016-03-18"
"355516.5","2016-03-13"
"61664.1","2016-03-25"
"175556.69","2016-03-26"
"56260.7","2016-03-10"
"70535.7","2016-03-29"
"84007.8","2016-04-02"
"90025","2016-04-24"
"196245.8","2016-05-09"
"246715.9","2016-05-10"
"187546.3","2016-05-11"
"177835","2016-05-28"
"17552.6","2016-06-14"
"96154","2016-06-06"
"58996.7","2016-01-04"
"37722.2","2016-01-10"
"54055.6","2016-01-13"
"61848.5","2016-02-12"
"63779.2","2016-02-13"
"803599.5","2016-02-03"
"327722.2","2016-02-26"
"37441.5","2016-04-05"
"95366.6","2016-04-10"
"41649.7","2016-04-26"
"58124.3","2016-04-28"
"39957.7","2016-05-02"
"48223.7","2016-05-03"
"110940.4","2016-05-04"
"463450.7","2016-05-07"
"280090.6","2016-05-21"
"80567.2","2016-05-14"
"108461.1","2016-05-27"
"125253.1","2016-06-04"
"50571.4","2016-01-08"
"54101.2","2016-01-19"
"52320.6","2016-01-20"
"29417","2016-02-08"
"127312.7","2016-02-16"
"879703.6","2016-02-28"
"982838.7","2016-02-29"
"585165.9","2016-02-27"
"253043.7","2016-03-23"
"51778.5","2016-03-24"
"58247.6","2016-04-27"
"65297.1","2016-04-15"
"1108752.4","2016-05-05"
"112015.1","2016-05-19"
"153999.7","2016-05-24"
"15383.8","2016-06-15"
"65183.2","2016-06-10"
"67348.5","2016-06-01"
"103753.9","2016-06-03"
"52503","2016-01-09"
"37783.6","2016-01-15"
"96055.6","2016-01-24"
"350818.6","2016-01-29"
"390071.5","2016-01-30"
"566735.6","2016-01-31"
"246365.8","2016-02-21"
"372028","2016-02-04"
"192335.8","2016-02-15"
"241334.18","2016-03-05"
"86835.8","2016-03-04"
"309925.3","2016-03-19"
"172784.6","2016-03-11"
"179532.3","2016-03-27"
"79377.9","2016-03-30"
"95978.2","2016-03-31"
"55448.5","2016-04-07"
"107241.1","2016-04-09"
"42034.7","2016-04-22"
"269430.1","2016-05-18"
"99252","2016-05-23"
"14984.6","2016-06-13"
"88510.5","2016-06-11"
"59932.8","2016-06-09"
"16842.5","2016-06-16"
"88265.4","2016-06-07"
"1930.6","2016-06-17"
"91622.5","2016-06-02"
"42998.9","2016-01-03"
"64527.7","2016-01-07"
"33772.7","2016-02-11"
"251134","2016-02-24"
"42299.8","2016-02-07"
"101636.1","2016-03-02"
"142275.7","2016-03-07"
"130178.1","2016-03-08"
"142055.3","2016-03-16"
"380872.9","2016-03-12"
"77493.6","2016-03-09"
"71241.8","2016-04-03"
"42760.8","2016-04-11"
"47639.5","2016-04-13"
"36414","2016-05-01"
"45390.4","2016-04-19"
"536194","2016-05-06"
"682694.8","2016-05-16"
"173886.4","2016-05-12"
"145750.2","2016-05-26"
"58199.2","2016-01-01"
"83465.3","2016-01-06"
"79579.7","2016-01-22"
"117295.8","2016-01-27"
"402672","2016-02-01"
"113047.5","2016-02-19"
"221551.7","2016-02-20"
"258383.7","2016-02-25"
"104367.1","2016-02-14"
"279392.37","2016-03-06"
"48406.7","2016-04-06"
"71435.6","2016-04-08"
"147571.5","2016-05-20"
"180961.4","2016-05-25"
"73140","2016-06-08"
"104680.8","2016-05-30"
"72300","2016-01-05"
"34229.2","2016-01-11"
"28682.3","2016-01-16"
"57161.5","2016-01-21"
"81989.1","2016-01-26"
"2096690.8","2016-02-02"
"18715.7","2016-02-09"
"34477.8","2016-02-10"
"275240.9","2016-03-20"
"66301.5","2016-03-21"
"82926.9","2016-03-14"
"60296.8","2016-04-04"
"43317.2","2016-04-25"
"46635.7","2016-04-30"
"75211.6","2016-04-17"
"42464","2016-04-20"
"70659.8","2016-04-16"
"57996.7","2016-04-14"
"265682.4","2016-05-17"
"99277","2016-06-12"
"92955.9","2016-06-05"
"107283","2016-05-31"
"86849.8","2016-01-25"
"106980","2016-01-28"
"121091","2016-02-17"
"176272.9","2016-02-06"
"76132.4","2016-03-01"
"83682.5","2016-03-03"
"81937.9","2016-03-17"
"115300","2016-03-15"
"61816.6","2016-03-22"
"71170.89","2016-03-28"
"61344.4","2016-04-01"
"61224.9","2016-04-12"
"74818","2016-04-29"
"87225.4","2016-04-23"
"50651.2","2016-04-18"
"43493.8","2016-04-21"
"411002.8","2016-05-08"
"198097.7","2016-05-22"
"78920.3","2016-05-15"
"269982.7","2016-05-13"
"169772.9","2016-05-29"
