"商品名称","订单量","比例"
"蓝月亮机洗绝配（滚筒亮白）",17331,15.37
"蓝月亮机洗绝配套装*2（亮白+亮白）",16422,14.56
"蓝月亮机洗至尊半年套装（亮白）",16418,14.56
"蓝月亮机洗绝配(亮白)+机洗神器补充装*3",8535,7.57
"蓝月亮机洗绝配(滚筒亮白)",7605,6.74
"蓝月亮机洗绝配套装*2（亮白+洁净）",7573,6.71
"蓝月亮风清白兰手洗专用洗衣液袋装1kg",5924,5.25
"蓝月亮机洗绝配（滚筒洁净）",4273,3.79
"蓝月亮茶清天然绿茶洗洁精1kg",3731,3.31
"蓝月亮机洗绝配套装*2（洁净+洁净）",2687,2.38
"蓝月亮机洗绝配(亮白)",2512,2.23
"蓝月亮机洗神器套装",2396,2.12
"蓝月亮手洗绝配",2358,2.09
"蓝月亮芦荟抑菌洗手液500g",2344,2.08
"蓝月亮薰衣草绿色柔顺剂3kg",2191,1.94
"蓝月亮机洗至尊半年套装（洁净）",2181,1.93
"蓝月亮青柠强力油污克星500g+青柠强力油污克星瓶装补充装500g",2087,1.85
"卫诺清怡罗兰香氛洁厕液500g",1946,1.73
"蓝月亮机洗绝配(滚筒洁净)",1657,1.47
"蓝色月光彩色衣物色渍净600g",1547,1.37
"蓝月亮风清白兰手洗专用洗衣液袋装500g",1541,1.37
"蓝月亮84消毒液600g",1376,1.22
"蓝月亮除菌地板清洁剂2kg",1250,1.11
"蓝月亮喷雾型衣领净500g",1167,1.03
"蓝色月光白色衣物色渍净600g",1145,1.02
"蓝月亮风清白兰手洗专用洗衣液套装",1050,0.93
"蓝月亮机洗绝配(洁净)+机洗神器补充装*3",903,0.8
"蓝月亮风清白兰手洗专用洗衣液1kg",886,0.79
"蓝月亮风清白兰手洗专用洗衣液(翻盖装)500g",827,0.73
"蓝月亮宝宝洗衣套装",789,0.7
"蓝月亮机洗神器三袋补充装",749,0.66
"蓝月亮草莓儿童洗手液225g",698,0.62
"卫诺碧野清新洁厕宝50g(4块装)",640,0.57
"蓝月亮厨卫绝配",567,0.5
"蓝月亮风清白兰手洗专用洗衣液(旅行装)80g",494,0.44
"蓝月亮机洗绝配(洁净)",491,0.44
"蓝月亮机洗绝配（亮白）-江西宜丰特供",485,0.43
"蓝月亮机洗绝配半年套装（亮白）",435,0.39
"蓝月亮机洗至尊袋装组合(600g兰亮白袋*3)",431,0.38
"蓝月亮灰垢洁瓷宝500g",416,0.37
"蓝月亮洋甘菊香宝宝专用洗衣液1kg",319,0.28
"蓝月亮洋甘菊香宝宝专用洗衣液袋装1kg",265,0.23
"机洗绝配（660g兰滚筒亮白瓶+600g兰滚筒亮白袋×2+500g手洗翻盖)×5",244,0.22
"蓝月亮手洗绝配-江西宜丰特供",160,0.14
"卫诺碧野清新洁厕宝50g（4块装）",158,0.14
"蓝月亮洋甘菊香宝宝专用洗衣液(旅行装)80g",138,0.12
"蓝月亮风清白兰手洗专用洗衣液（旅行装）80g",136,0.12
"蓝月亮洋甘菊香宝宝专用洗衣液(翻盖装)500g",122,0.11
"蓝月亮机洗神器5袋+1kg茶清",95,0.08
"蓝月亮机洗至尊袋装组合(600g梅洁净袋*3)",92,0.08
"蓝月亮机洗绝配半年套装（洁净）",65,0.06
"蓝月亮风清白兰手洗专用洗衣液瓶1kg",64,0.06
"蓝月亮洋甘菊香宝宝专用洗衣液（旅行装）80g",59,0.05
"机洗绝配（660g梅滚筒洁净瓶+600g梅滚筒洁净袋×2+500g手洗翻盖)×5",50,0.04
"蓝月亮洋甘菊香宝宝专用洗衣液（翻盖装）500g",29,0.03
"蓝月亮机洗绝配（洁净）-江西宜丰特供",12,0.01
"蓝月亮机洗至尊袋装组合（亮白）",12,0.01
"蓝月亮机洗至尊袋装组合(洁净)",1,0
"蓝月亮机洗至尊袋装组合(亮白)+机洗神器补充装*2",1,0
